FinancialYear,ProviderType,Quarter,Sex,AgeGroup,Measure,Value
2017–18,Other psychologists,April to June,Total,65–74 years,Services,34228
2017–18,Other psychologists,April to June,Total,75–84 years,Services,10114
2017–18,Other psychologists,April to June,Total,85 years and over,Services,1808
2017–18,Other psychologists,April to June,Total,Total,Services,779128
2017–18,Other psychologists,April to June,Total,0–4 years,"Service rate per 1,000 population",4
2017–18,Other psychologists,April to June,Total,5–11 years,"Service rate per 1,000 population",36
2017–18,Other psychologists,April to June,Total,12–17 years,"Service rate per 1,000 population",49
2017–18,Other psychologists,April to June,Total,18–24 years,"Service rate per 1,000 population",41
2017–18,Other psychologists,April to June,Total,25–34 years,"Service rate per 1,000 population",39
2017–18,Other psychologists,April to June,Total,35–44 years,"Service rate per 1,000 population",39
2017–18,Other psychologists,April to June,Total,45–54 years,"Service rate per 1,000 population",35
2017–18,Other psychologists,April to June,Total,55–64 years,"Service rate per 1,000 population",28
2017–18,Other psychologists,April to June,Total,65–74 years,"Service rate per 1,000 population",16
2017–18,Other psychologists,April to June,Total,75–84 years,"Service rate per 1,000 population",9
2017–18,Other psychologists,April to June,Total,85 years and over,"Service rate per 1,000 population",4
2017–18,Other psychologists,April to June,Total,Total,"Service rate per 1,000 population",31
2017–18,Other psychologists,Financial year,Male,0–4 years,Patients,4326
2017–18,Other psychologists,Financial year,Male,5–11 years,Patients,39171
2017–18,Other psychologists,Financial year,Male,12–17 years,Patients,29595
2017–18,Other psychologists,Financial year,Male,18–24 years,Patients,30883
2017–18,Other psychologists,Financial year,Male,25–34 years,Patients,48743
2017–18,Other psychologists,Financial year,Male,35–44 years,Patients,45361
2017–18,Other psychologists,Financial year,Male,45–54 years,Patients,36759
2017–18,Other psychologists,Financial year,Male,55–64 years,Patients,24040
2017–18,Other psychologists,Financial year,Male,65–74 years,Patients,9859
2017–18,Other psychologists,Financial year,Male,75–84 years,Patients,3016
2017–18,Other psychologists,Financial year,Male,85 years and over,Patients,596
2017–18,Other psychologists,Financial year,Male,Total,Patients,272349
2017–18,Other psychologists,Financial year,Male,0–4 years,"Patient rate per 1,000 population",5
2017–18,Other psychologists,Financial year,Male,5–11 years,"Patient rate per 1,000 population",34
2017–18,Other psychologists,Financial year,Male,12–17 years,"Patient rate per 1,000 population",33
2017–18,Other psychologists,Financial year,Male,18–24 years,"Patient rate per 1,000 population",26
2017–18,Other psychologists,Financial year,Male,25–34 years,"Patient rate per 1,000 population",26
2017–18,Other psychologists,Financial year,Male,35–44 years,"Patient rate per 1,000 population",28
2017–18,Other psychologists,Financial year,Male,45–54 years,"Patient rate per 1,000 population",23
2017–18,Other psychologists,Financial year,Male,55–64 years,"Patient rate per 1,000 population",17
2017–18,Other psychologists,Financial year,Male,65–74 years,"Patient rate per 1,000 population",9
2017–18,Other psychologists,Financial year,Male,75–84 years,"Patient rate per 1,000 population",6
2017–18,Other psychologists,Financial year,Male,85 years and over,"Patient rate per 1,000 population",3
2017–18,Other psychologists,Financial year,Male,Total,"Patient rate per 1,000 population",22
2017–18,Other psychologists,Financial year,Male,0–4 years,Services,13251
2017–18,Other psychologists,Financial year,Male,5–11 years,Services,171711
2017–18,Other psychologists,Financial year,Male,12–17 years,Services,125174
2017–18,Other psychologists,Financial year,Male,18–24 years,Services,120889
2017–18,Other psychologists,Financial year,Male,25–34 years,Services,187301
2017–18,Other psychologists,Financial year,Male,35–44 years,Services,180972
2017–18,Other psychologists,Financial year,Male,45–54 years,Services,154609
2017–18,Other psychologists,Financial year,Male,55–64 years,Services,103826
2017–18,Other psychologists,Financial year,Male,65–74 years,Services,41660
2017–18,Other psychologists,Financial year,Male,75–84 years,Services,11738
2017–18,Other psychologists,Financial year,Male,85 years and over,Services,2220
2017–18,Other psychologists,Financial year,Male,Total,Services,1113351
2017–18,Other psychologists,Financial year,Male,0–4 years,"Service rate per 1,000 population",16
2017–18,Other psychologists,Financial year,Male,5–11 years,"Service rate per 1,000 population",151
2017–18,Other psychologists,Financial year,Male,12–17 years,"Service rate per 1,000 population",140
2017–18,Other psychologists,Financial year,Male,18–24 years,"Service rate per 1,000 population",101
2017–18,Other psychologists,Financial year,Male,25–34 years,"Service rate per 1,000 population",102
2017–18,Other psychologists,Financial year,Male,35–44 years,"Service rate per 1,000 population",110
2017–18,Other psychologists,Financial year,Male,45–54 years,"Service rate per 1,000 population",98
2017–18,Other psychologists,Financial year,Male,55–64 years,"Service rate per 1,000 population",74
2017–18,Other psychologists,Financial year,Male,65–74 years,"Service rate per 1,000 population",39
2017–18,Other psychologists,Financial year,Male,75–84 years,"Service rate per 1,000 population",22
2017–18,Other psychologists,Financial year,Male,85 years and over,"Service rate per 1,000 population",12
2017–18,Other psychologists,Financial year,Male,Total,"Service rate per 1,000 population",91
2017–18,Other psychologists,Financial year,Female,0–4 years,Patients,2298
2017–18,Other psychologists,Financial year,Female,5–11 years,Patients,26964
2017–18,Other psychologists,Financial year,Female,12–17 years,Patients,41532
2017–18,Other psychologists,Financial year,Female,18–24 years,Patients,56048
2017–18,Other psychologists,Financial year,Female,25–34 years,Patients,86939
2017–18,Other psychologists,Financial year,Female,35–44 years,Patients,75119
2017–18,Other psychologists,Financial year,Female,45–54 years,Patients,62552
2017–18,Other psychologists,Financial year,Female,55–64 years,Patients,44719
2017–18,Other psychologists,Financial year,Female,65–74 years,Patients,20675
2017–18,Other psychologists,Financial year,Female,75–84 years,Patients,6522
2017–18,Other psychologists,Financial year,Female,85 years and over,Patients,1465
2017–18,Other psychologists,Financial year,Female,Total,Patients,424833
2017–18,Other psychologists,Financial year,Female,0–4 years,"Patient rate per 1,000 population",3
2017–18,Other psychologists,Financial year,Female,5–11 years,"Patient rate per 1,000 population",25
2017–18,Other psychologists,Financial year,Female,12–17 years,"Patient rate per 1,000 population",49
2017–18,Other psychologists,Financial year,Female,18–24 years,"Patient rate per 1,000 population",49
2017–18,Other psychologists,Financial year,Female,25–34 years,"Patient rate per 1,000 population",47
2017–18,Other psychologists,Financial year,Female,35–44 years,"Patient rate per 1,000 population",45
2017–18,Other psychologists,Financial year,Female,45–54 years,"Patient rate per 1,000 population",38
2017–18,Other psychologists,Financial year,Female,55–64 years,"Patient rate per 1,000 population",31
2017–18,Other psychologists,Financial year,Female,65–74 years,"Patient rate per 1,000 population",19
2017–18,Other psychologists,Financial year,Female,75–84 years,"Patient rate per 1,000 population",10
2017–18,Other psychologists,Financial year,Female,85 years and over,"Patient rate per 1,000 population",5
2017–18,Other psychologists,Financial year,Female,Total,"Patient rate per 1,000 population",34
2017–18,Other psychologists,Financial year,Female,0–4 years,Services,7111
2017–18,Other psychologists,Financial year,Female,5–11 years,Services,119297
2017–18,Other psychologists,Financial year,Female,12–17 years,Services,183073
2017–18,Other psychologists,Financial year,Female,18–24 years,Services,230492
2017–18,Other psychologists,Financial year,Female,25–34 years,Services,352378
2017–18,Other psychologists,Financial year,Female,35–44 years,Services,312297
2017–18,Other psychologists,Financial year,Female,45–54 years,Services,269758
2017–18,Other psychologists,Financial year,Female,55–64 years,Services,197318
2017–18,Other psychologists,Financial year,Female,65–74 years,Services,88825
2017–18,Other psychologists,Financial year,Female,75–84 years,Services,26294
2017–18,Other psychologists,Financial year,Female,85 years and over,Services,5770
2017–18,Other psychologists,Financial year,Female,Total,Services,1792613
2017–18,Other psychologists,Financial year,Female,0–4 years,"Service rate per 1,000 population",9
2017–18,Other psychologists,Financial year,Female,5–11 years,"Service rate per 1,000 population",110
2017–18,Other psychologists,Financial year,Female,12–17 years,"Service rate per 1,000 population",217
2017–18,Other psychologists,Financial year,Female,18–24 years,"Service rate per 1,000 population",202
2017–18,Other psychologists,Financial year,Female,25–34 years,"Service rate per 1,000 population",190
2017–18,Other psychologists,Financial year,Female,35–44 years,"Service rate per 1,000 population",189
2017–18,Other psychologists,Financial year,Female,45–54 years,"Service rate per 1,000 population",166
2017–18,Other psychologists,Financial year,Female,55–64 years,"Service rate per 1,000 population",135
2017–18,Other psychologists,Financial year,Female,65–74 years,"Service rate per 1,000 population",80
2017–18,Other psychologists,Financial year,Female,75–84 years,"Service rate per 1,000 population",42
2017–18,Other psychologists,Financial year,Female,85 years and over,"Service rate per 1,000 population",19
2017–18,Other psychologists,Financial year,Female,Total,"Service rate per 1,000 population",144
2017–18,Other psychologists,Financial year,Total,0–4 years,Patients,6624
2017–18,Other psychologists,Financial year,Total,5–11 years,Patients,66135
2017–18,Other psychologists,Financial year,Total,12–17 years,Patients,71127
2017–18,Other psychologists,Financial year,Total,18–24 years,Patients,86931
2017–18,Other psychologists,Financial year,Total,25–34 years,Patients,135682
2017–18,Other psychologists,Financial year,Total,35–44 years,Patients,120480
2017–18,Other psychologists,Financial year,Total,45–54 years,Patients,99311
2017–18,Other psychologists,Financial year,Total,55–64 years,Patients,68759
2017–18,Other psychologists,Financial year,Total,65–74 years,Patients,30534
2017–18,Other psychologists,Financial year,Total,75–84 years,Patients,9538
2017–18,Other psychologists,Financial year,Total,85 years and over,Patients,2061
2017–18,Other psychologists,Financial year,Total,Total,Patients,697182
2017–18,Other psychologists,Financial year,Total,0–4 years,"Patient rate per 1,000 population",4
2017–18,Other psychologists,Financial year,Total,5–11 years,"Patient rate per 1,000 population",30
2017–18,Other psychologists,Financial year,Total,12–17 years,"Patient rate per 1,000 population",41
2017–18,Other psychologists,Financial year,Total,18–24 years,"Patient rate per 1,000 population",37
2017–18,Other psychologists,Financial year,Total,25–34 years,"Patient rate per 1,000 population",37
2017–18,Other psychologists,Financial year,Total,35–44 years,"Patient rate per 1,000 population",37
2017–18,Other psychologists,Financial year,Total,45–54 years,"Patient rate per 1,000 population",31
2017–18,Other psychologists,Financial year,Total,55–64 years,"Patient rate per 1,000 population",24
2017–18,Other psychologists,Financial year,Total,65–74 years,"Patient rate per 1,000 population",14
2017–18,Other psychologists,Financial year,Total,75–84 years,"Patient rate per 1,000 population",8
2017–18,Other psychologists,Financial year,Total,85 years and over,"Patient rate per 1,000 population",4
2017–18,Other psychologists,Financial year,Total,Total,"Patient rate per 1,000 population",28
2017–18,Other psychologists,Financial year,Total,0–4 years,Services,20362
2017–18,Other psychologists,Financial year,Total,5–11 years,Services,291008
2017–18,Other psychologists,Financial year,Total,12–17 years,Services,308247
2017–18,Other psychologists,Financial year,Total,18–24 years,Services,351381
2017–18,Other psychologists,Financial year,Total,25–34 years,Services,539679
2017–18,Other psychologists,Financial year,Total,35–44 years,Services,493269
2017–18,Other psychologists,Financial year,Total,45–54 years,Services,424367
2017–18,Other psychologists,Financial year,Total,55–64 years,Services,301144
2017–18,Other psychologists,Financial year,Total,65–74 years,Services,130485
2017–18,Other psychologists,Financial year,Total,75–84 years,Services,38032
2017–18,Other psychologists,Financial year,Total,85 years and over,Services,7990
2017–18,Other psychologists,Financial year,Total,Total,Services,2905964
2017–18,Other psychologists,Financial year,Total,0–4 years,"Service rate per 1,000 population",13
2017–18,Other psychologists,Financial year,Total,5–11 years,"Service rate per 1,000 population",131
2017–18,Other psychologists,Financial year,Total,12–17 years,"Service rate per 1,000 population",177
2017–18,Other psychologists,Financial year,Total,18–24 years,"Service rate per 1,000 population",151
2017–18,Other psychologists,Financial year,Total,25–34 years,"Service rate per 1,000 population",146
2017–18,Other psychologists,Financial year,Total,35–44 years,"Service rate per 1,000 population",150
2017–18,Other psychologists,Financial year,Total,45–54 years,"Service rate per 1,000 population",133
2017–18,Other psychologists,Financial year,Total,55–64 years,"Service rate per 1,000 population",105
2017–18,Other psychologists,Financial year,Total,65–74 years,"Service rate per 1,000 population",60
2017–18,Other psychologists,Financial year,Total,75–84 years,"Service rate per 1,000 population",33
2017–18,Other psychologists,Financial year,Total,85 years and over,"Service rate per 1,000 population",16
2017–18,Other psychologists,Financial year,Total,Total,"Service rate per 1,000 population",117
2017–18,Other allied health providers,July to September,Male,0–4 years,Patients,441
2017–18,Other allied health providers,July to September,Male,5–11 years,Patients,3105
2017–18,Other allied health providers,July to September,Male,12–17 years,Patients,1886
2017–18,Other allied health providers,July to September,Male,18–24 years,Patients,1534
2017–18,Other allied health providers,July to September,Male,25–34 years,Patients,2083
2017–18,Other allied health providers,July to September,Male,35–44 years,Patients,2349
2017–18,Other allied health providers,July to September,Male,45–54 years,Patients,2041
2017–18,Other allied health providers,July to September,Male,55–64 years,Patients,1359
2017–18,Other allied health providers,July to September,Male,65–74 years,Patients,600
2017–18,Other allied health providers,July to September,Male,75–84 years,Patients,227
2017–18,Other allied health providers,July to September,Male,85 years and over,Patients,112
2017–18,Other allied health providers,July to September,Male,Total,Patients,15737
2017–18,Other allied health providers,July to September,Male,0–4 years,"Patient rate per 1,000 population",1
2017–18,Other allied health providers,July to September,Male,5–11 years,"Patient rate per 1,000 population",3
2017–18,Other allied health providers,July to September,Male,12–17 years,"Patient rate per 1,000 population",2
2017–18,Other allied health providers,July to September,Male,18–24 years,"Patient rate per 1,000 population",1
2017–18,Other allied health providers,July to September,Male,25–34 years,"Patient rate per 1,000 population",1
2017–18,Other allied health providers,July to September,Male,35–44 years,"Patient rate per 1,000 population",1
2017–18,Other allied health providers,July to September,Male,45–54 years,"Patient rate per 1,000 population",1
2017–18,Other allied health providers,July to September,Male,55–64 years,"Patient rate per 1,000 population",1
2017–18,Other allied health providers,July to September,Male,65–74 years,"Patient rate per 1,000 population",1
2017–18,Other allied health providers,July to September,Male,75–84 years,"Patient rate per 1,000 population",0
2017–18,Other allied health providers,July to September,Male,85 years and over,"Patient rate per 1,000 population",1
2017–18,Other allied health providers,July to September,Male,Total,"Patient rate per 1,000 population",1
2017–18,Other allied health providers,July to September,Male,0–4 years,Services,1223
2017–18,Other allied health providers,July to September,Male,5–11 years,Services,8663
2017–18,Other allied health providers,July to September,Male,12–17 years,Services,4552
2017–18,Other allied health providers,July to September,Male,18–24 years,Services,3757
2017–18,Other allied health providers,July to September,Male,25–34 years,Services,5103
2017–18,Other allied health providers,July to September,Male,35–44 years,Services,5731
2017–18,Other allied health providers,July to September,Male,45–54 years,Services,5129
2017–18,Other allied health providers,July to September,Male,55–64 years,Services,3387
2017–18,Other allied health providers,July to September,Male,65–74 years,Services,1505
2017–18,Other allied health providers,July to September,Male,75–84 years,Services,587
2017–18,Other allied health providers,July to September,Male,85 years and over,Services,266
2017–18,Other allied health providers,July to September,Male,Total,Services,39903
2017–18,Other allied health providers,July to September,Male,0–4 years,"Service rate per 1,000 population",2
2017–18,Other allied health providers,July to September,Male,5–11 years,"Service rate per 1,000 population",8
2017–18,Other allied health providers,July to September,Male,12–17 years,"Service rate per 1,000 population",5
2017–18,Other allied health providers,July to September,Male,18–24 years,"Service rate per 1,000 population",3
2017–18,Other allied health providers,July to September,Male,25–34 years,"Service rate per 1,000 population",3
2017–18,Other allied health providers,July to September,Male,35–44 years,"Service rate per 1,000 population",3
2017–18,Other allied health providers,July to September,Male,45–54 years,"Service rate per 1,000 population",3
2017–18,Other allied health providers,July to September,Male,55–64 years,"Service rate per 1,000 population",2
2017–18,Other allied health providers,July to September,Male,65–74 years,"Service rate per 1,000 population",1
2017–18,Other allied health providers,July to September,Male,75–84 years,"Service rate per 1,000 population",1
2017–18,Other allied health providers,July to September,Male,85 years and over,"Service rate per 1,000 population",1
2017–18,Other allied health providers,July to September,Male,Total,"Service rate per 1,000 population",3
2017–18,Other allied health providers,July to September,Female,0–4 years,Patients,172
2017–18,Other allied health providers,July to September,Female,5–11 years,Patients,1679
2017–18,Other allied health providers,July to September,Female,12–17 years,Patients,2925
2017–18,Other allied health providers,July to September,Female,18–24 years,Patients,2879
2017–18,Other allied health providers,July to September,Female,25–34 years,Patients,4184
2017–18,Other allied health providers,July to September,Female,35–44 years,Patients,4575
2017–18,Other allied health providers,July to September,Female,45–54 years,Patients,4241
2017–18,Other allied health providers,July to September,Female,55–64 years,Patients,2981
2017–18,Other allied health providers,July to September,Female,65–74 years,Patients,1377
2017–18,Other allied health providers,July to September,Female,75–84 years,Patients,506
2017–18,Other allied health providers,July to September,Female,85 years and over,Patients,285
2017–18,Other allied health providers,July to September,Female,Total,Patients,25804
2017–18,Other allied health providers,July to September,Female,0–4 years,"Patient rate per 1,000 population",0
2017–18,Other allied health providers,July to September,Female,5–11 years,"Patient rate per 1,000 population",2
2017–18,Other allied health providers,July to September,Female,12–17 years,"Patient rate per 1,000 population",3
2017–18,Other allied health providers,July to September,Female,18–24 years,"Patient rate per 1,000 population",3
2017–18,Other allied health providers,July to September,Female,25–34 years,"Patient rate per 1,000 population",2
2017–18,Other allied health providers,July to September,Female,35–44 years,"Patient rate per 1,000 population",3
2017–18,Other allied health providers,July to September,Female,45–54 years,"Patient rate per 1,000 population",3
2017–18,Other allied health providers,July to September,Female,55–64 years,"Patient rate per 1,000 population",2
2017–18,Other allied health providers,July to September,Female,65–74 years,"Patient rate per 1,000 population",1
2017–18,Other allied health providers,July to September,Female,75–84 years,"Patient rate per 1,000 population",1
2017–18,Other allied health providers,July to September,Female,85 years and over,"Patient rate per 1,000 population",1
2017–18,Other allied health providers,July to September,Female,Total,"Patient rate per 1,000 population",2
2017–18,Other allied health providers,July to September,Female,0–4 years,Services,497
2017–18,Other allied health providers,July to September,Female,5–11 years,Services,4473
2017–18,Other allied health providers,July to September,Female,12–17 years,Services,7088
2017–18,Other allied health providers,July to September,Female,18–24 years,Services,6826
2017–18,Other allied health providers,July to September,Female,25–34 years,Services,10152
2017–18,Other allied health providers,July to September,Female,35–44 years,Services,11264
2017–18,Other allied health providers,July to September,Female,45–54 years,Services,10396
2017–18,Other allied health providers,July to September,Female,55–64 years,Services,7316
2017–18,Other allied health providers,July to September,Female,65–74 years,Services,3396
2017–18,Other allied health providers,July to September,Female,75–84 years,Services,1241
2017–18,Other allied health providers,July to September,Female,85 years and over,Services,680
2017–18,Other allied health providers,July to September,Female,Total,Services,63329
2017–18,Other allied health providers,July to September,Female,0–4 years,"Service rate per 1,000 population",1
2017–18,Other allied health providers,July to September,Female,5–11 years,"Service rate per 1,000 population",4
2017–18,Other allied health providers,July to September,Female,12–17 years,"Service rate per 1,000 population",8
2017–18,Other allied health providers,July to September,Female,18–24 years,"Service rate per 1,000 population",6
2017–18,Other allied health providers,July to September,Female,25–34 years,"Service rate per 1,000 population",5
2017–18,Other allied health providers,July to September,Female,35–44 years,"Service rate per 1,000 population",7
2017–18,Other allied health providers,July to September,Female,45–54 years,"Service rate per 1,000 population",6
2017–18,Other allied health providers,July to September,Female,55–64 years,"Service rate per 1,000 population",5
2017–18,Other allied health providers,July to September,Female,65–74 years,"Service rate per 1,000 population",3
2017–18,Other allied health providers,July to September,Female,75–84 years,"Service rate per 1,000 population",2
2017–18,Other allied health providers,July to September,Female,85 years and over,"Service rate per 1,000 population",2
2017–18,Other allied health providers,July to September,Female,Total,"Service rate per 1,000 population",5
2017–18,Other allied health providers,July to September,Total,0–4 years,Patients,613
2017–18,Other allied health providers,July to September,Total,5–11 years,Patients,4784
2017–18,Other allied health providers,July to September,Total,12–17 years,Patients,4811
2017–18,Other allied health providers,July to September,Total,18–24 years,Patients,4413
2017–18,Other allied health providers,July to September,Total,25–34 years,Patients,6267
2017–18,Other allied health providers,July to September,Total,35–44 years,Patients,6924
2017–18,Other allied health providers,July to September,Total,45–54 years,Patients,6282
2017–18,Other allied health providers,July to September,Total,55–64 years,Patients,4340
2017–18,Other allied health providers,July to September,Total,65–74 years,Patients,1977
2017–18,Other allied health providers,July to September,Total,75–84 years,Patients,733
2017–18,Other allied health providers,July to September,Total,85 years and over,Patients,397
2017–18,Other allied health providers,July to September,Total,Total,Patients,41541
2017–18,Other allied health providers,July to September,Total,0–4 years,"Patient rate per 1,000 population",0
2017–18,Other allied health providers,July to September,Total,5–11 years,"Patient rate per 1,000 population",2
2017–18,Other allied health providers,July to September,Total,12–17 years,"Patient rate per 1,000 population",3
2017–18,Other allied health providers,July to September,Total,18–24 years,"Patient rate per 1,000 population",2
2017–18,Other allied health providers,July to September,Total,25–34 years,"Patient rate per 1,000 population",2
2017–18,Other allied health providers,July to September,Total,35–44 years,"Patient rate per 1,000 population",2
2017–18,Other allied health providers,July to September,Total,45–54 years,"Patient rate per 1,000 population",2
2017–18,Other allied health providers,July to September,Total,55–64 years,"Patient rate per 1,000 population",2
2017–18,Other allied health providers,July to September,Total,65–74 years,"Patient rate per 1,000 population",1
2017–18,Other allied health providers,July to September,Total,75–84 years,"Patient rate per 1,000 population",1
2017–18,Other allied health providers,July to September,Total,85 years and over,"Patient rate per 1,000 population",1
2017–18,Other allied health providers,July to September,Total,Total,"Patient rate per 1,000 population",2
2017–18,Other allied health providers,July to September,Total,0–4 years,Services,1720
2017–18,Other allied health providers,July to September,Total,5–11 years,Services,13136
2017–18,Other allied health providers,July to September,Total,12–17 years,Services,11640
2017–18,Other allied health providers,July to September,Total,18–24 years,Services,10583
2017–18,Other allied health providers,July to September,Total,25–34 years,Services,15255
2017–18,Other allied health providers,July to September,Total,35–44 years,Services,16995
2017–18,Other allied health providers,July to September,Total,45–54 years,Services,15525
2017–18,Other allied health providers,July to September,Total,55–64 years,Services,10703
2017–18,Other allied health providers,July to September,Total,65–74 years,Services,4901
2017–18,Other allied health providers,July to September,Total,75–84 years,Services,1828
2017–18,Other allied health providers,July to September,Total,85 years and over,Services,946
2017–18,Other allied health providers,July to September,Total,Total,Services,103232
2017–18,Other allied health providers,July to September,Total,0–4 years,"Service rate per 1,000 population",1
2017–18,Other allied health providers,July to September,Total,5–11 years,"Service rate per 1,000 population",6
2017–18,Other allied health providers,July to September,Total,12–17 years,"Service rate per 1,000 population",7
2017–18,Other allied health providers,July to September,Total,18–24 years,"Service rate per 1,000 population",5
2017–18,Other allied health providers,July to September,Total,25–34 years,"Service rate per 1,000 population",4
2017–18,Other allied health providers,July to September,Total,35–44 years,"Service rate per 1,000 population",5
2017–18,Other allied health providers,July to September,Total,45–54 years,"Service rate per 1,000 population",5
2017–18,Other allied health providers,July to September,Total,55–64 years,"Service rate per 1,000 population",4
2017–18,Other allied health providers,July to September,Total,65–74 years,"Service rate per 1,000 population",2
2017–18,Other allied health providers,July to September,Total,75–84 years,"Service rate per 1,000 population",2
2017–18,Other allied health providers,July to September,Total,85 years and over,"Service rate per 1,000 population",2
2017–18,Other allied health providers,July to September,Total,Total,"Service rate per 1,000 population",4
2017–18,Other allied health providers,October to December,Male,0–4 years,Patients,417
2017–18,Other allied health providers,October to December,Male,5–11 years,Patients,3009
2017–18,Other allied health providers,October to December,Male,12–17 years,Patients,1779
2017–18,Other allied health providers,October to December,Male,18–24 years,Patients,1428
2017–18,Other allied health providers,October to December,Male,25–34 years,Patients,1960
2017–18,Other allied health providers,October to December,Male,35–44 years,Patients,2248
2017–18,Other allied health providers,October to December,Male,45–54 years,Patients,1991
2017–18,Other allied health providers,October to December,Male,55–64 years,Patients,1322
2017–18,Other allied health providers,October to December,Male,65–74 years,Patients,622
2017–18,Other allied health providers,October to December,Male,75–84 years,Patients,229
2017–18,Other allied health providers,October to December,Male,85 years and over,Patients,66
2017–18,Other allied health providers,October to December,Male,Total,Patients,15071
2017–18,Other allied health providers,October to December,Male,0–4 years,"Patient rate per 1,000 population",1
2017–18,Other allied health providers,October to December,Male,5–11 years,"Patient rate per 1,000 population",3
2017–18,Other allied health providers,October to December,Male,12–17 years,"Patient rate per 1,000 population",2
2017–18,Other allied health providers,October to December,Male,18–24 years,"Patient rate per 1,000 population",1
2017–18,Other allied health providers,October to December,Male,25–34 years,"Patient rate per 1,000 population",1
2017–18,Other allied health providers,October to December,Male,35–44 years,"Patient rate per 1,000 population",1
2017–18,Other allied health providers,October to December,Male,45–54 years,"Patient rate per 1,000 population",1
2017–18,Other allied health providers,October to December,Male,55–64 years,"Patient rate per 1,000 population",1
2017–18,Other allied health providers,October to December,Male,65–74 years,"Patient rate per 1,000 population",1
2017–18,Other allied health providers,October to December,Male,75–84 years,"Patient rate per 1,000 population",0
2017–18,Other allied health providers,October to December,Male,85 years and over,"Patient rate per 1,000 population",0
2017–18,Other allied health providers,October to December,Male,Total,"Patient rate per 1,000 population",1
2017–18,Other allied health providers,October to December,Male,0–4 years,Services,1331
2017–18,Other allied health providers,October to December,Male,5–11 years,Services,8830
2017–18,Other allied health providers,October to December,Male,12–17 years,Services,4602
2017–18,Other allied health providers,October to December,Male,18–24 years,Services,3319
2017–18,Other allied health providers,October to December,Male,25–34 years,Services,4693
2017–18,Other allied health providers,October to December,Male,35–44 years,Services,5527
2017–18,Other allied health providers,October to December,Male,45–54 years,Services,4996
2017–18,Other allied health providers,October to December,Male,55–64 years,Services,3155
2017–18,Other allied health providers,October to December,Male,65–74 years,Services,1549
2017–18,Other allied health providers,October to December,Male,75–84 years,Services,605
2017–18,Other allied health providers,October to December,Male,85 years and over,Services,145
2017–18,Other allied health providers,October to December,Male,Total,Services,38752
2017–18,Other allied health providers,October to December,Male,0–4 years,"Service rate per 1,000 population",2
2017–18,Other allied health providers,October to December,Male,5–11 years,"Service rate per 1,000 population",8
2017–18,Other allied health providers,October to December,Male,12–17 years,"Service rate per 1,000 population",5
2017–18,Other allied health providers,October to December,Male,18–24 years,"Service rate per 1,000 population",3
2017–18,Other allied health providers,October to December,Male,25–34 years,"Service rate per 1,000 population",3
2017–18,Other allied health providers,October to December,Male,35–44 years,"Service rate per 1,000 population",3
2017–18,Other allied health providers,October to December,Male,45–54 years,"Service rate per 1,000 population",3
2017–18,Other allied health providers,October to December,Male,55–64 years,"Service rate per 1,000 population",2
2017–18,Other allied health providers,October to December,Male,65–74 years,"Service rate per 1,000 population",1
2017–18,Other allied health providers,October to December,Male,75–84 years,"Service rate per 1,000 population",1
2017–18,Other allied health providers,October to December,Male,85 years and over,"Service rate per 1,000 population",1
2017–18,Other allied health providers,October to December,Male,Total,"Service rate per 1,000 population",3
2017–18,Other allied health providers,October to December,Female,0–4 years,Patients,194
2017–18,Other allied health providers,October to December,Female,5–11 years,Patients,1684
2017–18,Other allied health providers,October to December,Female,12–17 years,Patients,2740
2017–18,Other allied health providers,October to December,Female,18–24 years,Patients,2660
2017–18,Other allied health providers,October to December,Female,25–34 years,Patients,4027
2017–18,Other allied health providers,October to December,Female,35–44 years,Patients,4489
2017–18,Other allied health providers,October to December,Female,45–54 years,Patients,3963
2017–18,Other allied health providers,October to December,Female,55–64 years,Patients,2863
2017–18,Other allied health providers,October to December,Female,65–74 years,Patients,1320
2017–18,Other allied health providers,October to December,Female,75–84 years,Patients,468
2017–18,Other allied health providers,October to December,Female,85 years and over,Patients,171
2017–18,Other allied health providers,October to December,Female,Total,Patients,24579
2017–18,Other allied health providers,October to December,Female,0–4 years,"Patient rate per 1,000 population",0
2017–18,Other allied health providers,October to December,Female,5–11 years,"Patient rate per 1,000 population",2
2017–18,Other allied health providers,October to December,Female,12–17 years,"Patient rate per 1,000 population",3
2017–18,Other allied health providers,October to December,Female,18–24 years,"Patient rate per 1,000 population",2
2017–18,Other allied health providers,October to December,Female,25–34 years,"Patient rate per 1,000 population",2
2017–18,Other allied health providers,October to December,Female,35–44 years,"Patient rate per 1,000 population",3
2017–18,Other allied health providers,October to December,Female,45–54 years,"Patient rate per 1,000 population",2
2017–18,Other allied health providers,October to December,Female,55–64 years,"Patient rate per 1,000 population",2
2017–18,Other allied health providers,October to December,Female,65–74 years,"Patient rate per 1,000 population",1
2017–18,Other allied health providers,October to December,Female,75–84 years,"Patient rate per 1,000 population",1
2017–18,Other allied health providers,October to December,Female,85 years and over,"Patient rate per 1,000 population",1
2017–18,Other allied health providers,October to December,Female,Total,"Patient rate per 1,000 population",2
2017–18,Other allied health providers,October to December,Female,0–4 years,Services,587
2017–18,Other allied health providers,October to December,Female,5–11 years,Services,4614
2017–18,Other allied health providers,October to December,Female,12–17 years,Services,6844
2017–18,Other allied health providers,October to December,Female,18–24 years,Services,6409
